rang,type_de_document,reservations,titre,auteur,Classement bibliothèque,Top bibliothèque,Classement_bibliothèque,Top_bibliothèque
626,Livre jeunesse,74.0,Harry Potter et la chambre des secrets,"Rowling,  Joanne Kathleen",,,52.0,1.0
630,Bande dessinée jeunesse,74.0,Les dieux sont amour,"Sobral,  Patrick",,,53.0,1.0
637,Bande dessinée ado,73.0,"The promised Neverland, tome 13","Shirai,  Kaiu",,,54.0,1.0
647,Livre adulte,73.0,"Vernon Subutex, tome 1","Despentes,  Virginie",,,55.0,1.0
654,Livre adulte,72.0,Les possibles,"Grimaldi,  Virginie",,,56.0,1.0
672,Livre adulte,71.0,Bonnet d'âne !,"Beaton,  M.C.",,,57.0,1.0
677,Bande dessinée jeunesse,71.0,"One Piece, tome 55 : Des travs en enfer","Oda,  Eiichiro",,,58.0,1.0
682,Bande dessinée ado,70.0,C'est comme ça que je disparais,"Malle,  Mirion",,,59.0,1.0
691,Livre adulte,70.0,Un miracle ,"Mas,  Victoria",,,60.0,1.0
705,Bande dessinée jeunesse,69.0,Sous un ciel d'azur,"Horikoshi,  K?hei",,,61.0,1.0
715,Bande dessinée jeunesse,69.0,"One Piece, tome 67 : Cool fight","Oda,  Eiichiro",,,62.0,1.0
718,Livre adulte,69.0,Si seulement...,"Dequier,  Bruno",,,63.0,1.0
719,Livre adulte,68.0,Kilomètre zéro : le chemin du bonheur,"Ankaoua,  Maud",,,64.0,1.0
720,Bande dessinée ado,68.0,"My hero academia, tome 15 : Lutte contre le destin","Horikoshi,  K?hei",,,65.0,1.0
726,Bande dessinée ado,68.0,"Solo leveling, tome 5",Chugong,,,66.0,1.0
732,Bande dessinée ado,68.0,"Naruto, tome 30","Kishimoto,  Masashi",,,67.0,1.0
737,Livre adulte,67.0,Les quatre accords toltèques : la voie de la liberté personnelle,"Ruiz,  Miguel",,,68.0,1.0
756,Bande dessinée ado,67.0,"One Piece, tome 64","Oda,  Eiichiro",,,69.0,1.0
757,Bande dessinée jeunesse,67.0,L'opération Dressrosa S.O.P.,"Oda,  Eiichiro",,,70.0,1.0
759,Bande dessinée adulte,66.0,"The promised neverland, tome 1","Shirai,  Kaiu",,,71.0,1.0
762,Livre adulte,66.0,La vérité sur la lumière,Auður Ava Ólafsdóttir,,,72.0,1.0
766,Livre adulte,66.0,Le rocher blanc,"Hope,  Anna",,,73.0,1.0
769,Bande dessinée ado,66.0,"Naruto, tome 21","Kishimoto,  Masashi",,,74.0,1.0
794,Bande dessinée jeunesse,65.0,"One Piece, tome 68 : Alliance entre pirates","Oda,  Eiichiro",,,75.0,1.0
799,Livre adulte,64.0,Pouilles,,,,76.0,1.0
801,Bande dessinée jeunesse,64.0,"Blue lock, tome 1","Kaneshiro,  Muneyuki",,,77.0,1.0
840,Livre adulte,62.0,Le consentement,"Springora,  Vanessa",,,78.0,1.0
860,Livre adulte,61.0,La maison,"Becker,  Emma",,,79.0,1.0
888,Bande dessinée jeunesse,60.0,Trop la classe !,"Didier,  Anne",,,80.0,1.0
891,Bande dessinée jeunesse,60.0,"L'atelier des sorciers, tome 3","Shirahama,  Kamome",,,81.0,1.0
910,Bande dessinée ado,60.0,"Journal inquiet d'Istanbul, tome 1","Karabulut,  Ersin",,,82.0,1.0
945,Livre adulte,58.0,Croire aux fauves,"Martin,  Nastassja",,,83.0,1.0
949,Bande dessinée ado,58.0,"Solo leveling, tome 3",Chugong,,,84.0,1.0
983,Bande dessinée jeunesse,56.0,Chaperlipopette !,Mr Tan,,,85.0,1.0
992,Livre adulte,56.0,Tout comprendre (ou presque) sur le climat,BonPote,,,86.0,1.0
